"ENSG00000158286",124,281,551,754,578,90,600,824,591,692
"ENSG00000116237",282,334,748,1222,1101,342,1477,1490,1294,1169
"ENSG00000225077",0,1,1,3,1,0,1,0,1,0
"ENSG00000173673",0,1,0,3,0,1,0,0,0,1
"ENSG00000158292",99,238,511,342,405,176,631,525,277,496
"ENSG00000097021",305,515,2085,4840,4015,296,3187,4736,3604,4244
"ENSG00000069812",0,1,3,2,1,1,0,1,0,0
"ENSG00000187017",18,46,91,40,26,35,74,42,44,35
"ENSG00000231868",0,0,0,0,0,0,0,0,0,0
"ENSG00000215788",288,653,2103,1476,1866,409,2108,2083,2251,1908
"ENSG00000171680",355,622,1834,2609,3341,345,2330,3341,1960,3262
"ENSG00000162408",338,333,542,1015,805,275,874,1234,1010,1070
"ENSG00000253022",5,15,9,7,3,3,7,3,6,1
"ENSG00000229519",24,46,53,35,10,25,19,13,24,10
"ENSG00000173662",7,5,6,10,4,1,12,7,4,7
"ENSG00000204859",239,207,520,620,489,184,638,584,556,592
"ENSG00000162413",596,426,1196,1419,1656,443,1659,2090,1986,1873
"ENSG00000116273",158,129,307,406,371,128,473,498,346,467
"ENSG00000041988",120,144,352,452,306,108,390,430,430,358
"ENSG00000007923",162,105,270,589,596,136,636,789,540,682
"ENSG00000228750",1,1,0,2,0,0,0,0,0,1
"ENSG00000237436",10,18,15,13,14,6,20,12,14,16
"ENSG00000171735",1151,3176,3605,4253,3493,1267,3761,5166,4047,3556
"ENSG00000227950",1,1,0,4,0,0,1,3,1,3
"ENSG00000237365",1,3,2,4,1,1,2,3,3,2
"ENSG00000207056",9,34,13,5,1,6,5,0,4,2
"ENSG00000280801",1,1,1,1,0,0,0,1,0,1
"ENSG00000237402",2,0,1,1,2,2,2,2,1,1
"ENSG00000237728",2,4,5,2,1,1,3,1,3,2
"ENSG00000225126",2,2,0,3,0,1,3,1,1,1
"ENSG00000270171",20,7,33,23,16,12,10,15,29,22
"ENSG00000270035",9,4,8,6,5,7,7,9,8,9
"ENSG00000269978",9,11,24,18,5,3,5,11,16,10
"ENSG00000049245",592,396,792,895,750,496,1255,956,1067,724
"ENSG00000269925",1,10,12,22,13,7,12,25,38,18
"ENSG00000049246",336,269,538,751,609,285,955,1111,493,742
"ENSG00000236266",16,2,12,21,9,5,22,29,12,11
"ENSG00000049247",0,5,3,7,0,1,1,3,2,2
"ENSG00000049249",0,0,0,1,0,0,1,0,3,1
"ENSG00000270330",0,0,0,0,0,0,0,0,0,0
"ENSG00000116288",1321,983,2700,4507,3403,1474,4371,4399,3636,3836
"ENSG00000200344",1,1,0,1,2,0,2,2,1,4
"ENSG00000116285",200,185,322,571,550,250,591,714,533,563
"ENSG00000238290",12,14,24,28,10,7,27,21,19,15
"ENSG00000232848",1,0,0,0,0,2,1,0,1,0
"ENSG00000229305",0,0,0,1,0,0,0,0,0,0
